Customer ID,Recency,Frequency,Monetary,Cluster,CustomerSegment
12347.0,35,7,4696.71,1,Regular Customers
12348.0,71,5,2019.3999999999999,1,Regular Customers
12349.0,14,4,4428.6900000000005,1,Regular Customers
12350.0,305,1,334.40000000000003,0,Inactive Customers
12351.0,370,1,300.93,0,Inactive Customers
12352.0,31,10,2849.84,1,Regular Customers
12353.0,199,2,406.76,0,Inactive Customers
12354.0,228,1,1079.4,0,Inactive Customers
12355.0,209,2,947.61,0,Inactive Customers
12358.0,146,4,3203.8700000000003,1,Regular Customers
12360.0,47,8,4252.89,1,Regular Customers
12361.0,282,4,511.25,0,Inactive Customers
12362.0,31,10,4827.1900000000005,1,Regular Customers
12363.0,105,2,552.0,0,Inactive Customers
12364.0,3,4,1313.1,1,Regular Customers
12365.0,286,2,641.38,0,Inactive Customers
12366.0,629,1,500.24,0,Inactive Customers
12368.0,623,1,917.7,0,Inactive Customers
12369.0,409,3,1791.15,0,Inactive Customers
12370.0,46,7,4316.56,1,Regular Customers
12371.0,40,5,4067.38,1,Regular Customers
12372.0,67,3,1298.04,0,Inactive Customers
12373.0,307,3,1127.65,0,Inactive Customers
12374.0,20,4,2989.2200000000003,1,Regular Customers
12375.0,6,2,457.5,0,Inactive Customers
12376.0,385,2,503.15,0,Inactive Customers
12377.0,310,4,3426.32,1,Regular Customers
12379.0,77,4,1620.22,1,Regular Customers
12381.0,28,4,1698.3,1,Regular Customers
12383.0,180,5,1850.56,1,Regular Customers
12384.0,24,2,585.27,0,Inactive Customers
12385.0,374,1,1938.4,0,Inactive Customers
12386.0,333,2,401.9,0,Inactive Customers
12387.0,410,1,143.94,0,Inactive Customers
12388.0,11,8,3901.11,1,Regular Customers
12389.0,398,3,1433.33,0,Inactive Customers
12390.0,75,1,549.84,0,Inactive Customers
12391.0,17,6,2724.84,1,Regular Customers
12392.0,586,1,234.75000000000003,0,Inactive Customers
12393.0,67,6,2399.45,1,Regular Customers
12394.0,59,2,1272.48,0,Inactive Customers
12396.0,669,1,931.4300000000001,0,Inactive Customers
12397.0,31,2,2409.9,1,Regular Customers
12398.0,41,1,1635.6599999999999,0,Inactive Customers
12399.0,115,7,1962.3,1,Regular Customers
12400.0,409,1,205.25,0,Inactive Customers
12401.0,298,1,84.3,0,Inactive Customers
12402.0,318,6,1256.9,1,Regular Customers
12403.0,45,2,1019.36,0,Inactive Customers
12404.0,677,1,63.24,0,Inactive Customers
12405.0,144,1,1710.39,0,Inactive Customers
12407.0,45,5,1708.12,1,Regular Customers
12408.0,28,8,4340.77,1,Regular Customers
12410.0,304,3,1013.71,0,Inactive Customers
12411.0,405,1,346.9,0,Inactive Customers
12412.0,70,6,2596.93,1,Regular Customers
12413.0,62,4,999.45,0,Inactive Customers
12414.0,212,6,952.4100000000001,1,Regular Customers
12416.0,652,1,202.56,0,Inactive Customers
12418.0,108,4,2021.2,1,Regular Customers
12419.0,381,2,503.01,0,Inactive Customers
12420.0,59,1,600.39,0,Inactive Customers
12421.0,11,6,1098.6,1,Regular Customers
12423.0,96,9,2413.75,1,Regular Customers
12424.0,158,4,3340.0299999999997,1,Regular Customers
12425.0,73,2,1741.41,0,Inactive Customers
12426.0,190,2,1345.21,0,Inactive Customers
12427.0,17,3,825.8000000000001,0,Inactive Customers
12430.0,38,1,256.4,0,Inactive Customers
12432.0,38,5,5059.32,1,Regular Customers
12434.0,80,3,1103.43,0,Inactive Customers
12436.0,95,1,509.01,0,Inactive Customers
12438.0,9,2,2906.85,1,Regular Customers
12439.0,678,2,1142.88,0,Inactive Customers
12440.0,458,2,859.2,0,Inactive Customers
12441.0,362,1,173.55,0,Inactive Customers
12443.0,727,1,485.31,0,Inactive Customers
12444.0,16,5,5005.46,1,Regular Customers
12445.0,17,2,434.98,0,Inactive Customers
12446.0,53,1,1002.3100000000001,0,Inactive Customers
12447.0,238,1,476.49,0,Inactive Customers
12448.0,39,1,449.45,0,Inactive Customers
12449.0,17,6,4835.89,1,Regular Customers
12450.0,151,5,688.2,0,Inactive Customers
12452.0,12,2,430.57000000000005,0,Inactive Customers
12453.0,129,1,707.09,0,Inactive Customers
12456.0,39,3,3181.04,1,Regular Customers
12457.0,62,8,2995.91,1,Regular Customers
12458.0,66,4,1777.49,1,Regular Customers
12459.0,600,1,454.36,0,Inactive Customers
12460.0,451,1,326.65,0,Inactive Customers
12461.0,89,2,826.88,0,Inactive Customers
12462.0,14,2,1189.59,0,Inactive Customers
12463.0,48,4,1344.78,1,Regular Customers
12464.0,5,8,1212.05,1,Regular Customers
12465.0,12,2,742.19,0,Inactive Customers
12466.0,677,1,56.73,0,Inactive Customers
12467.0,418,1,132.8,0,Inactive Customers
12468.0,183,5,3670.7400000000002,1,Regular Customers
12469.0,518,2,3070.54,0,Inactive Customers
12470.0,685,1,211.95,0,Inactive Customers
12473.0,24,5,3928.05,1,Regular Customers
12475.0,49,2,1149.64,0,Inactive Customers
12479.0,6,1,527.2,0,Inactive Customers
12485.0,524,1,708.1,0,Inactive Customers
12486.0,427,1,1037.28,0,Inactive Customers
12487.0,726,1,285.3,0,Inactive Customers
12488.0,5,3,1298.66,0,Inactive Customers
12489.0,332,1,334.93,0,Inactive Customers
12491.0,34,1,460.40000000000003,0,Inactive Customers
12492.0,58,3,715.21,0,Inactive Customers
12493.0,161,2,433.74,0,Inactive Customers
12494.0,11,9,1815.27,1,Regular Customers
12495.0,636,1,357.4,0,Inactive Customers
12496.0,615,2,45.34,0,Inactive Customers
12498.0,17,3,403.70000000000005,0,Inactive Customers
12499.0,555,1,393.72,0,Inactive Customers
12501.0,332,1,2169.39,0,Inactive Customers
12502.0,91,5,3723.87,1,Regular Customers
12503.0,579,1,1126.0,0,Inactive Customers
12504.0,13,4,779.05,0,Inactive Customers
12505.0,404,1,955.2,0,Inactive Customers
12506.0,228,1,73.5,0,Inactive Customers
12507.0,129,4,1844.06,1,Regular Customers
12508.0,21,2,397.88,0,Inactive Customers
12509.0,279,1,176.5,0,Inactive Customers
12511.0,424,1,3084.02,0,Inactive Customers
12512.0,61,2,132.18,0,Inactive Customers
12513.0,108,1,612.29,0,Inactive Customers
