Customer ID,Recency,Frequency,Monetary
12347.0,35,7,4696.71
12348.0,71,5,2019.3999999999999
12349.0,14,4,4428.6900000000005
12350.0,305,1,334.40000000000003
12351.0,370,1,300.93
12352.0,31,10,2849.84
12353.0,199,2,406.76
12354.0,228,1,1079.4
12355.0,209,2,947.61
12358.0,146,4,3203.8700000000003
12360.0,47,8,4252.89
12361.0,282,4,511.25
12362.0,31,10,4827.1900000000005
12363.0,105,2,552.0
12364.0,3,4,1313.1
12365.0,286,2,641.38
12366.0,629,1,500.24
12368.0,623,1,917.7
12369.0,409,3,1791.15
12370.0,46,7,4316.56
12371.0,40,5,4067.38
12372.0,67,3,1298.04
12373.0,307,3,1127.65
12374.0,20,4,2989.2200000000003
12375.0,6,2,457.5
12376.0,385,2,503.15
12377.0,310,4,3426.32
12379.0,77,4,1620.22
12381.0,28,4,1698.3
12383.0,180,5,1850.56
12384.0,24,2,585.27
12385.0,374,1,1938.4
12386.0,333,2,401.9
12387.0,410,1,143.94
12388.0,11,8,3901.11
12389.0,398,3,1433.33
12390.0,75,1,549.84
12391.0,17,6,2724.84
12392.0,586,1,234.75000000000003
12393.0,67,6,2399.45
12394.0,59,2,1272.48
12396.0,669,1,931.4300000000001
12397.0,31,2,2409.9
12398.0,41,1,1635.6599999999999
12399.0,115,7,1962.3
12400.0,409,1,205.25
12401.0,298,1,84.3
12402.0,318,6,1256.9
12403.0,45,2,1019.36
12404.0,677,1,63.24
12405.0,144,1,1710.39
12407.0,45,5,1708.12
12408.0,28,8,4340.77
12410.0,304,3,1013.71
12411.0,405,1,346.9
12412.0,70,6,2596.93
12413.0,62,4,999.45
12414.0,212,6,952.4100000000001
12416.0,652,1,202.56
12418.0,108,4,2021.2
12419.0,381,2,503.01
12420.0,59,1,600.39
12421.0,11,6,1098.6
12423.0,96,9,2413.75
12424.0,158,4,3340.0299999999997
12425.0,73,2,1741.41
12426.0,190,2,1345.21
12427.0,17,3,825.8000000000001
12430.0,38,1,256.4
12432.0,38,5,5059.32
12434.0,80,3,1103.43
12436.0,95,1,509.01
12438.0,9,2,2906.85
12439.0,678,2,1142.88
12440.0,458,2,859.2
12441.0,362,1,173.55
12443.0,727,1,485.31
12444.0,16,5,5005.46
12445.0,17,2,434.98
12446.0,53,1,1002.3100000000001
12447.0,238,1,476.49
12448.0,39,1,449.45
12449.0,17,6,4835.89
12450.0,151,5,688.2
12452.0,12,2,430.57000000000005
12453.0,129,1,707.09
12456.0,39,3,3181.04
12457.0,62,8,2995.91
12458.0,66,4,1777.49
12459.0,600,1,454.36
12460.0,451,1,326.65
12461.0,89,2,826.88
12462.0,14,2,1189.59
12463.0,48,4,1344.78
12464.0,5,8,1212.05
12465.0,12,2,742.19
12466.0,677,1,56.73
12467.0,418,1,132.8
12468.0,183,5,3670.7400000000002
12469.0,518,2,3070.54
12470.0,685,1,211.95
12473.0,24,5,3928.05
12475.0,49,2,1149.64
12479.0,6,1,527.2
12485.0,524,1,708.1
12486.0,427,1,1037.28
12487.0,726,1,285.3
12488.0,5,3,1298.66
12489.0,332,1,334.93
12491.0,34,1,460.40000000000003
12492.0,58,3,715.21
12493.0,161,2,433.74
12494.0,11,9,1815.27
12495.0,636,1,357.4
12496.0,615,2,45.34
12498.0,17,3,403.70000000000005
12499.0,555,1,393.72
12501.0,332,1,2169.39
12502.0,91,5,3723.87
12503.0,579,1,1126.0
12504.0,13,4,779.05
12505.0,404,1,955.2
12506.0,228,1,73.5
12507.0,129,4,1844.06
12508.0,21,2,397.88
12509.0,279,1,176.5
12511.0,424,1,3084.02
12512.0,61,2,132.18
12513.0,108,1,612.29
12514.0,262,2,1597.76
12515.0,348,1,383.7
12516.0,73,4,2648.62
12517.0,23,5,2481.6
12518.0,24,4,1717.75
12519.0,59,2,716.54
12520.0,74,5,2634.26
12521.0,138,1,599.68
12522.0,34,2,192.72
12525.0,493,3,973.73
12526.0,49,2,1039.58
12527.0,77,5,735.51
12528.0,4,6,1933.48
12529.0,524,1,316.48
12530.0,55,9,3759.26
12531.0,10,2,1933.2
12532.0,25,1,349.83000000000004
12533.0,623,2,1367.89
12534.0,126,1,1089.18
12535.0,87,2,716.35
12537.0,404,1,732.94
12538.0,24,2,640.45
12541.0,25,3,981.18
12542.0,479,2,481.88
12543.0,443,1,980.25
12544.0,31,1,372.7
12545.0,70,2,1000.39
12546.0,42,2,1161.5
12547.0,193,3,383.58
12548.0,161,1,95.19999999999999
12549.0,571,6,1575.68
12550.0,74,1,964.83
12551.0,353,1,168.0
12552.0,34,2,437.82
12554.0,444,1,468.5
12555.0,677,1,129.23
12556.0,46,2,599.56
12558.0,3,1,269.96
12559.0,306,2,561.71
12560.0,107,2,1436.31
12561.0,298,1,238.85
12562.0,3,9,4966.92
12563.0,404,1,249.24
12564.0,256,1,456.90000000000003
12565.0,284,1,145.92000000000002
12566.0,81,1,351.65
12568.0,640,1,70.0
12570.0,677,1,77.52
12571.0,35,2,519.61
12572.0,4,2,1020.4200000000001
12573.0,222,5,717.41
12574.0,311,1,218.45000000000002
12575.0,453,2,622.82
12576.0,31,8,2142.7200000000003
12577.0,30,8,1617.1
12578.0,16,4,4642.45
12579.0,73,1,440.42
12580.0,242,2,1052.9
12581.0,35,1,197.71
12582.0,234,4,1980.4
12584.0,13,8,2137.7
12585.0,229,2,2040.1
12586.0,12,4,2062.67
12587.0,3,1,144.0
12588.0,34,4,958.78
12589.0,24,8,4695.66
12591.0,312,3,1338.95
12592.0,87,5,2582.66
12593.0,104,3,418.1
12595.0,500,1,299.02
12596.0,47,2,618.27
12597.0,14,4,3811.22
12598.0,5,11,4534.09
12601.0,185,6,681.26
12602.0,54,1,153.12
12603.0,17,1,739.1999999999999
12604.0,74,2,254.18
12605.0,371,4,1232.95
12606.0,677,1,21.0
12607.0,55,1,1579.51
12608.0,400,1,415.79
12609.0,73,9,3435.86
12610.0,18,5,2099.54
12611.0,48,1,1193.32
12612.0,69,1,704.04
12614.0,273,1,315.6
12616.0,90,3,1131.1
12617.0,24,1,352.98
12618.0,17,1,177.31
12619.0,11,10,3781.38
12620.0,10,3,1339.41
12622.0,227,1,180.1
12623.0,271,7,3747.84
12624.0,101,2,641.13
12627.0,6,7,4478.53
12628.0,28,2,571.21
12629.0,381,2,1558.22
12630.0,5,2,1270.88
12631.0,52,6,3481.57
12632.0,516,2,804.88
12634.0,531,2,490.0
12635.0,85,4,2930.41
12636.0,734,1,141.0
12638.0,29,2,921.49
12639.0,234,3,1312.3700000000001
12640.0,19,3,1174.58
12641.0,110,1,185.9
12642.0,20,3,1013.26
12644.0,125,4,1918.49
12645.0,29,8,3539.3
12646.0,45,1,731.69
12648.0,150,4,1112.0
12649.0,102,8,2294.65
12651.0,330,4,377.75
12652.0,326,2,1017.0300000000001
12653.0,144,3,4160.83
12654.0,6,5,601.98
12655.0,419,1,261.35
12657.0,6,4,1643.18
12658.0,14,1,686.05
12659.0,25,1,91.68
12660.0,6,1,245.10000000000002
12661.0,431,1,162.0
12663.0,620,2,239.4
12665.0,320,3,313.6
12666.0,389,1,1248.42
12667.0,53,1,620.13
12669.0,146,3,2744.0299999999997
